天津频道,#genre#
天津卫视,http://111.162.207.1:8686/rtp/225.1.1.111:5002
天津新闻,http://111.162.207.1:8686/rtp/225.1.1.130:5002
天津文艺,http://111.162.207.1:8686/rtp/225.1.1.131:5002
天津影视,http://111.162.207.1:8686/rtp/225.1.1.149:5002
天津都市,http://111.162.207.1:8686/rtp/225.1.1.128:5002
天津体育,http://111.162.207.1:8686/rtp/225.1.1.122:5002
天津教育,http://111.162.207.1:8686/rtp/225.1.1.129:5002
天津卫视,http://60.26.183.61:6841/rtp/225.1.1.111:5002
天津新闻,http://60.26.183.61:6841/rtp/225.1.1.130:5002
天津文艺,http://60.26.183.61:6841/rtp/225.1.1.131:5002
天津影视,http://60.26.183.61:6841/rtp/225.1.1.149:5002
天津都市,http://60.26.183.61:6841/rtp/225.1.1.128:5002
天津体育,http://60.26.183.61:6841/rtp/225.1.1.122:5002
天津教育,http://60.26.183.61:6841/rtp/225.1.1.129:5002
